Date,Description,Name,Category,Credit,Debit,Balance,Currency
10/27/2025,Real Time Payment From Amazon.com 10/25 20251025021000021p1brjpc03960008368,Amazon,Marketplace Payments,4685.33,,34587.86,USD
10/27/2025,Electronic Deposit 10/27 Afterpay 1217,AfterPay,ENTERTAINMENT,2258.80,,29902.53,USD
10/27/2025,Electronic Deposit 10/27 Shopify,Shopify,Marketplace Payments,4204.92,,27643.73,USD
10/27/2025,Real Time Payment From Amazon.com 10/26 20251026021000021p1brjpc08240016772,Amazon,Marketplace Payments,5755.01,,23438.81,USD
10/27/2025,Internet Banking Payment To Credit Line 10/25 6953,Credit Card Payment,LOAN_PAYMENTS,,3264.65,17683.80,USD
10/28/2025,Starbucks Coffee Purchase,Starbucks,Food/Dining,,45.50,17638.30,USD
10/28/2025,Netflix Monthly Subscription,Netflix,Entertainment,,15.99,17622.31,USD
10/28/2025,Uber Ride Downtown,Uber,Transport,,22.00,17600.31,USD
10/29/2025,Salary Deposit October,Salary,Income,5500.00,,23100.31,USD
10/29/2025,Amazon Prime Membership,Amazon,Subscription,,14.99,23085.32,USD
10/30/2025,Grocery Store Purchase,Whole Foods,Food/Dining,,127.45,22957.87,USD
10/30/2025,Electric Bill Payment,Utility Company,Utilities,,185.00,22772.87,USD